id,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,class
98643,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,111.0,15.0,0.0,0.0,0.9705548674522014,0.871439245384439,0.1359613276326665,0.0746463037217265,0.0,262.0,17.0,attack
40263,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,148.0,15.0,1.024064958258158,0.9201543820310656,0.0,0.0,0.0955751654153344,0.0739424114916259,0.0,245.0,17.0,attack
47961,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,47.0,0.0,0.0,0.0,0.0,1.024574815674905,0.0,0.976209056333408,1.0,78.0,attack
37672,0.0,166.0,2256.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.9534216656618322,0.0,0.0,227.0,258.0,normal
112203,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,129.0,10.0,0.9596539223497658,0.9260666412687636,0.0,0.0,0.0746213259913727,0.0658850802903441,0.0,231.0,10.0,attack
56047,0.0,317.0,719.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.925204689793548,0.0,0.0,124.0,242.0,normal
123632,0.0,145.0,36.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,277.0,266.0,0.0,0.0,0.0,0.0,0.9109467164856204,0.0101190936884482,0.0,164.0,129.0,normal
65616,0.0,35.0,0.0,0,3.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,32.0,32.0,0.0,0.0,0.0,0.0,0.9585933296122076,0.0,0.0,264.0,29.0,attack
33403,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,234.0,2.0,0.9567876089187348,0.9386712122934584,0.0,0.0,0.0098256056519015,0.0476563037734469,0.0,257.0,1.0,attack
20170,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,195.0,0.0,0.982277351718888,0.9733528101161122,0.0,0.0,0.0,0.0569517953292442,0.0,241.0,6.0,attack
114053,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,271.0,10.0,0.9088460224337404,1.0122144986960169,0.0,0.0,0.0359604267878051,0.0581169603787829,0.0,271.0,11.0,attack
91692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,150.0,1.0,0.0091686085601844,0.0,0.832266320291594,1.008413599312934,0.0096851464725149,0.9159521277808992,0.0,233.0,0.0,attack
59087,0.0,36.0,85.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,197.0,195.0,0.0,0.0,0.0,0.0,0.9721230418341472,0.0,0.0,242.0,269.0,normal
2818,0.0,29.0,35.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,101.0,157.0,0.0,0.0,0.0,0.0,0.8930848544958373,0.0,0.0087087010443336,261.0,267.0,normal
29573,0.0,62.0,72.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,266.0,271.0,0.0,0.0,0.0,0.0,0.8779107487497793,0.0,0.0,245.0,262.0,normal
115768,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,221.0,2.0,0.9066096257133912,0.9521235041113372,0.0,0.0,0.0098970269309561,0.056938598815182,0.0,250.0,1.0,attack
71422,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.9736077591662252,0.8838414976953248,1.0402449275283503,0.0,0.0,55.0,232.0,normal
9238,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,243.0,1.0,1.0442252507560572,0.9227510159786716,0.0,0.0,0.0,0.0557169274052159,0.0,256.0,0.0,attack
104600,0.0,353.0,1296.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,4.0,0.0,0.0,0.0,0.0,0.9428462451408802,0.0,0.0,22.0,260.0,normal
38423,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,98.0,2.0,0.9953957758720496,0.9856902593335052,0.0,0.0,0.0289417041820486,0.0598823905003545,0.0,252.0,3.0,attack
110530,0.0,353.0,1551.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,8.0,7.0,0.0,0.0,0.0,0.0,0.8534549289955845,0.0,0.0,7.0,261.0,normal
10285,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,225.0,1.0,0.8676512626791698,0.9302216616937116,0.0,0.0,0.0,0.0562409686178569,0.0,257.0,19.0,attack
46550,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.8649778215862012,0.9676854855621996,0.9557242077563612,0.0,0.0,182.0,0.0,attack
94742,0.0,197.0,6908.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.94909803993197,0.0,0.2847034779064105,252.0,267.0,normal
104819,0.0,177.0,16130.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,10.0,22.0,0.0,0.0,0.0,0.0,0.9581562549849852,0.0,0.1397107355806086,86.0,264.0,normal
51071,0.0,140.0,47690.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,14.0,0.0,0.0,0.0,0.0,0.8767836056562148,0.0,0.2681768700577868,28.0,260.0,normal
64005,0.0,152.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,1.0,0.0,0.0,0.0,0.0,0.2374938752070065,0.7037724922384444,0.0,263.0,1.0,normal
112980,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,275.0,7.0,1.0331903651941363,0.9240010552413152,0.0,0.0,0.0217999807558515,0.0593834969530446,0.0,274.0,4.0,attack
13164,0.0,6.0,93.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.466166888363988,0.9588627287304624,0.0,276.0,10.0,normal
